term,type,definition,business_alias
IVR Contact Ratio (%),Metric / Calculated Field,"Percentage of total IVR calls relative to the contact ratio base count, calculated as (Total IVR Calls * 100) / Contact Ratio Base Count",
Bot Contact Ratio(%),Metric / Calculated Field,"Percentage of bot tickets relative to the contact ratio base count, calculated as (Total Bot Tickets * 100) / Contact Ratio Base Count",
Bot MSAT(%),Metric / Calculated Field,"Bot satisfaction percentage based on positive responses, calculated as (Bot Positive Responses / Total Bot Responses) * 100","Bot Satisfaction Score, MSAT also referred as Customer Satisfaction, Bot Satisfaction Rate"
Bot to MHD Passthrough(%),Metric / Calculated Field,"Percentage of bot interactions that were escalated to MHD agents, calculated as (Agent Ticket Count Bot * 100) / Bot Active Ticket Count","Bot to MHD Escalation Rate, Bot MHD Escalation Rate"
Feedback % - MHD Agent,Metric / Calculated Field,"Percentage of MHD agent interactions that received customer feedback, calculated as (Agent Tickets Feedback Received * 100) / Agent Tickets For Response",MHD Agent Feedback Rate
Agent Ticket Count - Bot (MHD & Service),Metric / Calculated Field,"Total number of tickets escalated from bot to both MHD agents and service department, calculated as Agent Ticket Count Bot + Bot to Service Ticket Count","Total Agent Escalations, Total Bot Escalations"
Agent Ticket Count - Bot MHD,Metric,Total number of tickets escalated from bot interactions specifically to MHD agents,"Bot MHD Escalations, Bot to MHD Tickets, MHD Escalations"
Agent Ticket Count- Bot Service,Metric,Total number of tickets escalated from bot interactions specifically to Service team agents,"Service Escalations, Bot Service Escalations, Bot to Service Tickets"
MSAT(%) MHD Agent,Metric / Calculated Field,"MHD Agent satisfaction percentage based on positive feedback, calculated as (Agent Tickets MSAT Received / Agent Tickets Feedback Received) * 100","MSAT also referred as Customer Satisfaction, MHD Agent Satisfaction Rate, MHD Agent Satisfaction Score"
Passthrough,Category,"Process of escalating or transferring tickets from one service channel to another (e.g., from Bot to Agent)","Escalation, Transfer, Escalation Rate"
Feedback Percentage,Category,Metrics tracking the percentage of service interactions that received customer feedback responses,Response Rate
Month of the year,Dimension,Time dimension representing the calendar month when customer service activities occurred,"Monthly Period, Month"
Passthrough Rate,Category,"Metrics measuring the percentage of interactions escalated from one service channel to another (Bot to MHD, Bot to Service)",Escalation Rate
Month,Dimension,Time dimension representing monthly grouping of customer service metrics for trend analysis.,
